5413,'Salem's Lot,Stephen King, Jerry N. Uelsmann,1970,Doubleday
5414,'Salem's Lot,Stephen King, Ron McLarty,1960,Simon & Schuster Audio
19135,'Salem's Lot,Stephen King, Ron McLarty,1985,Simon & Schuster Audio
5415,'Salem's Lot,Stephen King ,2012,Doubleday,Philosophy and psychology
5420,'Salem's Lot,Stephen King ,1995,Hodder & Stoughton Ltd,Religion
5419,'Salem's Lot,Stephen King ,2005,Signet,Social sciences
19137,'Salem's Lot,Stephen King ,2007,Signet,Science
36303,'Salem's Lot,Stephen King ,2008,Signet,Literature
11525,1 000 Places to See Before You Die,Patricia Schultz ,2002,Workman Publishing Company,Social sciences
8542,10 lb Penalty,Dick Francis ,1961,G.P. Putnam's Sons,Technology
11339,100 Love Sonnets,Pablo Neruda, Stephen Tapscott,1983,University of Texas Press
313,100 Years of Lynchings,Ralph Ginzburg ,1965,Black Classic Press,Literature
32197,1001 Illuminated Initial Letters: 27 Full-Color Plates,Owen Jones ,2018,Dover Publications,Language
9156,101 Stories of the Great Ballets: The Scene-by-Scene Stories of the Most Popular Ballets  Old and New,George Balanchine, Francis Mason,2006,Anchor
12616,11 de Septiembre,Noam Chomsky ,1999,Siete Cuentos,Arts and recreation
17020,13 Little Blue Envelopes (Little Blue Envelope  #1),Maureen Johnson ,1969,HarperCollins Publishers,Language
34706,13th Directorate,Barry Chubin ,1969,Ivy Books,Language
4813,1421: The Year China Discovered America,Gavin Menzies ,2001,Harper Perennial (NYC),Technology
39020,1491: New Revelations of the Americas Before Columbus,Charles C. Mann ,1978,Vintage,Language
38827,1599: A Year in the Life of William Shakespeare,James Shapiro ,2010,Faber & Faber,Literature
35481,1635: The Cannon Law (Assiti Shards  #8),Eric Flint, Andrew Dennis,1975,Baen
36361,1848: The Revolution of the Intellectuals,Lewis B. Namier, James Joll,1993,British Academy
17297,1912 Manuscript on the Special Theory of Relativity,Albert Einstein, Hanoch Gutfreund,1962,George Braziller Inc.
7104,1919 (U.S.A.  #2),John Dos Passos, E.L. Doctorow,1986,Mariner Books
3345,1968: The Year That Rocked the World,Mark Kurlansky ,2002,Random House Trade Paperbacks,Technology
33681,1st To Die (The Women's Murder Club  #1),James Patterson ,2002,Turtleback Books,Language
