bookID,title,authors,year,publisher,subject
39763,The Mystical Poems of Rumi 1: First Selection  Poems 1-200,"""Rumi,A.J. Arberry""",1980,University Of Chicago Press,Science
2348,An Introduction to Old Norse,"""E.V. Gordon,A.R. Taylor""",1974,Oxford University Press,Literature
11333,Beloved,"""Toni Morrison,A.S. Byatt""",1955,Everyman's Library,History and geography
20564,The Mill on the Floss,"""George Eliot,A.S. Byatt""",1959,Penguin Classics,History and geography
18261,The Nibelungenlied,"""Unknown,A.T. Hatto""",1955,Penguin Classics,Philosophy and psychology
44559,Life is Elsewhere,"""Milan Kundera,Aaron Asher""",2007,Harper Perennial,Social sciences
36775,Tales of Magick: Dark Adventure,"""Phil Brucato,Aaron Rosenberg""",1972,White Wolf Games Studio,Arts and recreation
10057,Sid and Nancy: Love Kills,"""Alex Cox,Abbe Wool""",2020,Faber & Faber,Science
8013,Mr. Christmas,"""Roger Hargreaves,Adam Hargreaves""",2013,Price Stern Sloan,Science
8019,Little Miss Birthday,"""Roger Hargreaves,Adam Hargreaves""",1996,Price Stern Sloan,Arts and recreation
8032,Mr. Jelly and the Pirates,"""Roger Hargreaves,Adam Hargreaves""",1962,Price Stern Sloan,Technology
15779,Sideways Stories from Wayside School (Wayside School #1),"""Louis Sachar,Adam McCauley""",2013,Bloomsbury Childrens Books,Language
30529,A Philosophical Enquiry into the Origin of our Ideas of the Sublime and Beautiful,"""Edmund Burke,Adam Phillips""",2018,Oxford University Press,History and geography
34156,Liberals and Communitarians,"""Stephen Mulhall,Adam Swift""",1958,Wiley-Blackwell,Philosophy and psychology
43739,Iron Man: Extremis,"""Warren Ellis,Adi Granov""",1997,Marvel,Science
33046,Ve  perro ¡Ve!,"""P.D. Eastman,Adolfo Pérez Perdomo""",1970,Random House Para Ninos,Science
19041,Big Red Tub,"""Julia Jarman,Adrian Reynolds""",2001,Orchard,Science
7389,Runaways  Vol. 1: Pride and Joy,"""Brian K. Vaughan,Adrian Alphona""",1962,Marvel,Arts and recreation
35826,Of Tender Sin,"""David Goodis,Adrian Wootton""",1957,Serpent's Tail,Literature
35827,The Moon in the Gutter,"""David Goodis,Adrian Wootton""",1951,Serpent's Tail,Religion
16347,Absent in the Spring and Other Novels (Mary Westmacott Omnibus  #1--Absent in the Spring  Giant's Bread  The Rose and the Yew Tree),"""Mary Westmacott,Agatha Christie""",2018,Minotaur Books,Literature
16352,Black Coffee (Hercule Poirot  #45.5),"""Charles Osborne,Agatha Christie""",2014,St. Martin's Paperbacks,Literature
32835,The End of Nana Sahib: The Steam House (Extraordinary Voyages  #20),"""Jules Verne,Agnes D. Kingston""",1965,Fredonia Books (NL),History and geography
866,Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),"""Hiromu Arakawa,Akira Watanabe""",1962,VIZ Media LLC,Religion
868,Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),"""Hiromu Arakawa,Akira Watanabe""",2010,VIZ Media LLC,Religion
869,Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),"""Hiromu Arakawa,Akira Watanabe""",1959,VIZ Media LLC,Religion
870,Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),"""Hiromu Arakawa,Akira Watanabe""",2002,VIZ Media LLC,Science
871,Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),"""Hiromu Arakawa,Akira Watanabe""",2005,VIZ Media LLC,Language
873,Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),"""Hiromu Arakawa,Akira Watanabe""",1975,VIZ Media LLC,Literature
9325,Fullmetal Alchemist  Vol. 10,"""Hiromu Arakawa,Akira Watanabe""",1954,VIZ Media LLC,Language
9326,Fullmetal Alchemist  Vol. 5 (Fullmetal Alchemist  #5),"""Hiromu Arakawa,Akira Watanabe""",1966,VIZ Media LLC,Social sciences
23506,Fullmetal Alchemist  Vol. 11 (Fullmetal Alchemist  #11),"""Hiromu Arakawa,Akira Watanabe""",1959,VIZ Media LLC,Arts and recreation
