6549,  said the shotgun to the head.,Saul Williams ,1970,MTV Books,History and geography
14490,$30 Film School: How to Write  Direct  Produce  Shoot  Edit  Distribute  Tour With  and Sell Your Own No-Budget Digital Movie,Michael W. Dean ,2011,Cengage Learning,History and geography
11525,1 000 Places to See Before You Die,Patricia Schultz ,2002,Workman Publishing Company,Social sciences
8542,10 lb Penalty,Dick Francis ,1961,G.P. Putnam's Sons,Technology
11339,100 Love Sonnets,Pablo Neruda| Stephen Tapscott,1983,University of Texas Press,Literature
313,100 Years of Lynchings,Ralph Ginzburg ,1965,Black Classic Press,Literature
32197,1001 Illuminated Initial Letters: 27 Full-Color Plates,Owen Jones ,2018,Dover Publications,Language
9156,101 Stories of the Great Ballets: The Scene-by-Scene Stories of the Most Popular Ballets  Old and New,George Balanchine| Francis Mason,2006,Anchor,History and geography
12616,11 de Septiembre,Noam Chomsky ,1999,Siete Cuentos,Arts and recreation
17020,13 Little Blue Envelopes (Little Blue Envelope  #1),Maureen Johnson ,1969,HarperCollins Publishers,Language
34706,13th Directorate,Barry Chubin ,1969,Ivy Books,Language
4813,1421: The Year China Discovered America,Gavin Menzies ,2001,Harper Perennial (NYC),Technology
39020,1491: New Revelations of the Americas Before Columbus,Charles C. Mann ,1978,Vintage,Language
38827,1599: A Year in the Life of William Shakespeare,James Shapiro ,2010,Faber & Faber,Literature
35481,1635: The Cannon Law (Assiti Shards  #8),Eric Flint| Andrew Dennis,1975,Baen,History and geography
36361,1848: The Revolution of the Intellectuals,Lewis B. Namier| James Joll,1993,British Academy,Science
17297,1912 Manuscript on the Special Theory of Relativity,Albert Einstein| Hanoch Gutfreund,1962,George Braziller Inc.,History and geography
7104,1919 (U.S.A.  #2),John Dos Passos| E.L. Doctorow,1986,Mariner Books,Philosophy and psychology
3345,1968: The Year That Rocked the World,Mark Kurlansky ,2002,Random House Trade Paperbacks,Technology
33681,1st To Die (The Women's Murder Club  #1),James Patterson ,2002,Turtleback Books,Language
13137,1st to Die (Women's Murder Club  #1),James Patterson ,2013,Grand Central Publishing,Social sciences
32830,20 000 Leagues Under The Sea,Pauline Francis| Jules Verne,2002,Evans Brothers,Literature
34247,200 Quilt Blocks: To Mix and Match,Davina Thomas ,2012,Krause Publications,Social sciences
44836,2006 International Building Code,International Code Council (ICC) ,2022,International Code Council,Technology
1814,2012: The Return of Quetzalcoatl,Daniel Pinchbeck ,2013,Tarcher,Literature
30351,22 Indigo Place,Sandra Brown ,2021,Bantam (Fanfare),Literature
2267,23 Days in July: Inside the Tour de France and Lance Armstrong's Record-Breaking Victory,John Wilcockson| Graham Watson,1969,Da Capo Press,Social sciences
19844,25 Ways to Win with People: How to Make Others Feel Like a Million Bucks,John C. Maxwell| Les Parrott III,2020,HarperCollins Leadership,Religion
13136,2nd Chance (Women's Murder Club  #2),James Patterson| Andrew Gross,2016,Grand Central Publishing,Social sciences
13155,3rd Degree (Women's Murder Club  #3),James Patterson| Andrew Gross,2013,Grand Central Publishing,History and geography
31318,4:50 from Paddington / A Pocket Full of Rye (BBC Presents: Two Miss Marple Dramas),Agatha Christie ,2012,Random House Audio,Language
33668,4th of July (Women's Murder Club  #4),James Patterson| Maxine Paetro,2005,Vision,Social sciences
31573,50 Great Curries of India,Camellia Panjabi ,1976,Kyle Books,Philosophy and psychology
44649,7 hábitos de las familias altamente efectivas,Stephen R. Covey ,1960,Grijalbo,Language
33551,7 Steps to Midnight,Richard Matheson ,2004,Forge Books,Language
11900,72 Hour Hold,Bebe Moore Campbell ,1993,Anchor,Religion
5261,A Backward Glance,Edith Wharton| Louis Auchincloss,2010,Scribner,Arts and recreation
13912,A Beautiful Mind,Sylvia Nasar ,1970,Faber  Faber,Social sciences
5845,A Bend in the River,V.S. Naipaul ,1982,Picador USA,Science
3463,A Bend in the Road,Nicholas Sparks ,1987,Grand Central Publishing,Social sciences
24904,A Birthday for Frances,Russell Hoban| Lillian Hoban,1964,Harper Collins,Technology
38562,A Bite to Remember (Argeneau #5),Lynsay Sands ,1953,Avon,Language
11880,A Book of Blue Flowers,Robert L. Geneve ,1988,Timber Press (OR),Social sciences
422,A Book of Common Prayer,Joan Didion ,1997,Vintage International,Language
28231,A Box of Matches,Nicholson Baker ,1961,Vintage,History and geography
18549,A Break with Charity: A Story about the Salem Witch Trials,Ann Rinaldi ,2013,HMH Books for Young Readers,Religion
18551,A Break With Charity: A Story of the Salem Witch Trials,Ann Rinaldi ,2012,Turtleback Books,Philosophy and psychology
10965,A Breath of Snow and Ashes (Outlander  #6),Diana Gabaldon ,2014,Delta,Arts and recreation
3869,A Brief History of Time,Stephen Hawking ,1960,Bantam Books,Arts and recreation
2094,A Briefer History of Time,Stephen Hawking| Leonard Mlodinow,1964,Bantam,Technology
12419,A Calendar of Wisdom: Daily Thoughts to Nourish the Soul,Leo Tolstoy| Peter Sekirin,2021,Scribner,History and geography
30240,A Caress of Twilight (Merry Gentry  #2),Laurell K. Hamilton ,1956,Ballantine Books,Social sciences
44321,A Cargo of Women: Susannah Watson and the Convicts of the Princess Royal,Babette Smith ,2016,Rosenberg Publishing,Religion
16313,A Caribbean Mystery,Agatha Christie| Rosalind Ayres,1992,Audiogo,Philosophy and psychology
31300,A Caribbean Mystery (Miss Marple  #10),Agatha Christie ,1992,Signet,Arts and recreation
13076,A Carl Hiaasen Collection: Stormy Weather  Tourist Season  and  Strip Tease,Carl Hiaasen| Edward Asner,2010,Random House Audio,Arts and recreation
7663,A Case of Need,Jeffery Hudson| Michael Crichton,1977,Signet,Social sciences
34468,A Cat  a Man  and Two Women,Jun'ichir� Tanizaki| Paul McCarthy,2016,Kodansha,History and geography
24249,A Cavern of Black Ice (Sword of Shadows  #1),J.V. Jones ,1955,Tor Fantasy,Literature
29205,A Certain Justice (Abe Glitsky  #1),John Lescroart ,1998,Signet,Language
29204,A Certain Justice (Adam Dalgliesh  #10),P.D. James ,2006,Seal Books,Social sciences
20413,A Child's Garden of Verses,Robert Louis Stevenson| Tasha Tudor,1978,Simon & Schuster Books for Young Readers,Science
3346,A Chosen Few: The Resurrection of European Jewry (Reader's Circle),Mark Kurlansky ,1953,Ballantine Books,Language
5327,A Christmas Carol,Charles Dickens| P.J. Lynch,2003,Candlewick Press,Science
5328,A Christmas Carol,Charles Dickens ,2002,Penguin Books,Social sciences
41463,A Christmas Carol (Great Illustrated Classics),Malvina G. Vogel| Charles Dickens,1968,Abdo Publishing Company,Philosophy and psychology
5338,A Christmas Carol and Other Christmas Writings,Charles Dickens| Michael Slater,2003,Penguin Classics,Religion
9919,A Christmas Memory,Truman Capote ,1981,Knopf Books for Young Readers,Science
5319,A Christmas Story,Jean Shepherd ,1957,Broadway Books,Science
2819,A Circle of Quiet (Crosswicks Journals #1),Madeleine L'Engle ,1981,HarperOne,Philosophy and psychology
27397,A Civil Action,Jonathan Harr ,1957,Vintage,Arts and recreation
10572,A Clash of Kings  (A Song of Ice and Fire  #2),George R.R. Martin ,1991,Bantam,Literature
13504,A Clash of Kings (A Song of Ice and Fire  #2),George R.R. Martin| Roy Dotrice,1971,Random House Audio,Religion
8810,A Clockwork Orange,Anthony Burgess| Blake Morrison,1956,Penguin Classics,Philosophy and psychology
8811,A Clockwork Orange,Anthony Burgess ,1955,Penguin Books,Philosophy and psychology
8814,A Clockwork Orange (Stage Play),Anthony Burgess ,2014,Methuen Drama,Language
20235,A Cold Treachery (Inspector Ian Rutledge  #7),Charles Todd ,2000,Bantam,History and geography
34050,A Collection of Rudyard Kipling's Just So Stories,Rudyard Kipling| Christopher Corr,2001,Candlewick,Science
26996,A Companion to Plato's Republic,Nicholas P. White ,1974,Hackett Publishing Company  Inc.,Arts and recreation
13374,A Complicated Kindness,Miriam Toews ,1952,Counterpoint LLC,Technology
13375,A Complicated Kindness (Bookclub-In-A-Box),Marilyn Herbert| Miriam Toews,1994,Bookclub-In-A-Box,Literature
24923,A Confederacy of Dunces,John Kennedy Toole| Walker Percy,2017,Penguin Classics,Science
